id,review,label,prediction
source_0_000001,"easily favourite era far. more serious tone than previous film. tonally inconsistent franchise! Also seems another re-sequel starting sequels again ignoring all previous films except original one. really enjoyed human story there lots monster action city smashing. Godzilla looks best he ever looked, really great creature design. special effects good too, mostly. up there nearly as good as Godzilla vs. Destoroyah (1995), Godzilla vs. SpaceGodzilla (1994) Godzilla vs. Biollante (1989).",positive,positive
source_0_000002,"Demon Under Glass different take vampire legend, detective story, medical mystery, disturbing examination far man may go he believes ends justify means. film turns thrilling, gruesome, cynically humorous, thought-provoking, cast up task. Jason Carter (Babylon 5) both appealing terrifying as vampire Molinar, Garett Maggart (The Sentinel) demonstrates emotional range as conscripted, conflicted, Dr. Joe McKay. relationship as story develops well-crafted draws viewer holds him. veteran Jack Donner as lead scientist, Dr. Bassett, well illustrates occasional moral ambiguity science, fascinates as he declines toward madness his single-minded focus his research goals. film engaging enjoyable, outstanding first effort new director Jon Cunningham writers Cunningham Deborah Warner. definitely recommend film, look forward next effort.",positive,positive
source_0_000003,Albert Brooks & Michael Douglas adequate together. some funny scenes. Candace Bergen excellent as always. can't count number times mike visible top screen. original much better.,negative,positive
source_0_000004,"first saw Disney made movie wasn't too thrilled watching because rarely enjoy movies. Holes totally different, pleasant watch, good acting decent story. Seeing Shia LaBeouf acting age shows he already good acting skills he kid. Jon Voight best actor movie playing Mr.Sir. Sigourney Weaver still looks amazing even though she not biggest role she still pleasant watch. story isn't too far fetched entertaining enough never get bored. all all Disney can make movies worth watching, not only kids, even if most actors kids.",positive,positive
source_0_000005,"Came across IMDb able get hold first series DVD. Finally crime set not take itself seriously all time. Beautiful Women fighting baddies laughs abound, more can ask. As opposed Charlie, Jack charge, not Know all there done agent, same learning experience often subject light hearted banter, he just takes his stride. Without spoiling anyone not seen She Spies, all can say bully companies into screening get DVD's cant wait see series (Thank goodness multi-region players).",positive,positive
source_0_000006,"enjoyable movie. scenery beautiful as well as photography. outfits really nice. Set Italy Lake Como, looks like still painting. Vanessa Redgrave, (Howards End) Miss Bentley goes her holiday. She ends up falling love Major Wilshaw, Edward Fox, (Gandhi) after conflicting nanny, Miss Beaumont, Uma Thurman (The Truth About Cats & Dogs). Vittorio Balsari, Alessandro Gassman plays Italian fellow really charming. Favorite scenes: Miss Bentley putting her earrings on. Major Wilsaw Miss Bentley going swimming. Favorite Quote: "" better observe than observed.""",positive,positive
source_0_000007,"1920s, Mack Sennett's best comedians long gone as his glory years Keystone Studio. However, he continue working independently his shorts 1920s distributed Paramount. ""Clunked Corner"" films. film stars Johnny Burke, Carmelita Geraghty, Vernon Dent. Johnny sells newspapers notices guy standing near him sidewalk wanted man front page paper! villain (Dent) slips away his accomplice (Geraghty) soon bumps into Johnny plants some valuable pearls him, as shop owner suspicious. Later, she invites Johnny her house. He thinks he's going get lucky.she just wants get pearls back. Soon, he realizes he's thieves' hideout cops soon arrive, he assumes members gang. What's next? See film. very pleasant comedy.despite leading man forgotten comic today. There's very little hilarious, keep attention few funny bits. Well worth seeing if like silent comedies.",positive,positive
source_0_000008,"Although good movie decent storyline, made large flaw, could not overlook. Her boyfriend part Police Department, working case, trying keep her from arrested accused crime. Half way through movie, he takes her scene crime, because evidence keeps mounting against her. While there he tells her believe things happened. According him, believe her ex tied bleeding death, while he laid there witnessed his soon new wife's rape murder. Read last sentence carefully. word stand out all. woman left semen behind, after she over came her ex, other woman present. Ties left him bleeding death, then went work raping other woman, then killing her. Something just tad bid wrong whole picture, don't ya think?",negative,positive
source_0_000009,"Funny, provocative daring. use Pulp Fiction as model not original, film unique sole sets apart. cannot see surface dwellers. Check out. Each time see something new plot becomes apparent.",positive,positive
source_0_000010,"""Evidence film"" excellent example inventive filmic story-telling, downright startling originality creativity 1913. good film any age. Another example from Thanhouser, long-defunct studio working New Rochelle, New York, ""Evidence"" fewer than films found, out some 1,000 produced. small film, dramatic story superlative actors and, as said, marvelously inventive method presenting story. messenger boy, played remarkable Marie Eline, accused crime, his sister, played even more remarkable Florence La Badie, died too, too young (and can only imagine heights stardom she could reached), works find evidence will prove his innocence. Too many other reviewers given away story, won't. Instead will repeat, wonderful find, discovery film previously thought lost, more evidence major effort must expended find all Thanhouser films extant. ""Evidence"" shown Turner Classic Movies July 2015, three Thanhouser films following documentary about studio. hope see again highly recommend you.",positive,positive
